#MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE OTYPE Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE OTYPES RA_d DEC_d BIBLIST_1990_2020
"b'[CCG2002] 28'" "14 04 29.46" "+54 23 51.7" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12275000 54.39769000 1
"b'[CCG2002]  6'" "14 04 29.06" "+54 23 50.7" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12108000 54.39742000 1
"b'[CCG2002]  4'" "14 04 29.03" "+54 23 50.9" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12096000 54.39747000 1
"b'[CCG2002]  1'" "14 04 28.94" "+54 23 53.9" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12058000 54.39831000 1
"b'[CCG2002] 23'" "14 04 29.33" "+54 23 50.2" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12221000 54.39728000 1
"b'[CCG2002] 19'" "14 04 29.28" "+54 23 50.0" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12200000 54.39722000 1
"b'[MF97] M 101  1'" "14 02 20.1" "+54 21 36" 5 5 "" "" 0 D "" b'' b'' "" b'' b'SNR' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'SNR' 210.58370000 54.36000000 2
"b'HGGK  164'" "14 02 32.2" "+54 25 36" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.63420000 54.42670000 1
"b'[SAB2000] 140024.30+543253.9'" "14 02 10.86" "+54 18 28.8" 6 6 "" "" 0 D "" b'2000ApJ...538..608S' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 210.54525000 54.30800000 1
"b'HGGK 1248'" "14 04 31.800" "+54 25 27.24" 7 7 "" "" 0 D O b'2016ApJ...830....4C' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII|HII' 211.13250000 54.42423300 3
"b'[SAB2000] 140155.40+543844.7'" "14 03 41.25" "+54 24 22.9" 6 6 "" "" 0 D "" b'2000ApJ...538..608S' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 210.92187000 54.40636000 1
"b'[SAB2000] 140034.08+543738.2'" "14 02 20.44" "+54 23 13.4" 6 6 "" "" 0 D "" b'2000ApJ...538..608S' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 210.58517000 54.38706000 1
"b'SDSSCGB 395.1'" "14 02 20.440" "+54 23 13.17" 7 7 "" "" 0 C O b'2009yCat.2294....0A' b'' "" b'' b'Galaxy' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'G|GiG' 210.58516700 54.38699200 1
"b'SDSSCGB 395.2'" "14 02 20.312" "+54 23 15.43" 7 7 "" "" 0 C O b'2009yCat.2294....0A' b'' "" b'' b'Galaxy' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'G|GiG' 210.58463300 54.38761900 1
"b'HGGK   68'" "14 02 20.2" "+54 23 16" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.58420000 54.38780000 3
"b'SDSSCGB 395'" "14 02 20.1" "+54 23 14" 5 5 "" "" 0 D O b'2009MNRAS.395..255M' b'' "" b'' b'Compact_Gr_G' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'CGG|CGG' 210.58370000 54.38720000 1
"b'SDH 254'" "14 02 20.7" "+54 23 14" 5 5 "" "" 0 D "" b'1992AJ....104...92S' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.58620000 54.38720000 1
"b'2MASS J12435666+3210138'" "12 43 56.663" "+32 10 13.81" 7 7 140.000 130.000 84 C N b'2003yCat.2246....0C' b'' "" b'' b'AGN' "" "" "" "" "" "" "" z 0.002 0.000 C O b'2011yCat.2306....0A' b'PoG|PoG|AGN|AGN|IR' 190.98609500 32.17050200 3
"b'LEDA  101538'" "16 16 23.5440" "+47 02 02.288" 14 14 0.315 0.364 90 A O b'2018yCat.1345....0G' b'' "" b'' b'HII_G' "" "" "" "" "" "" "" z 0.002 0.000 C O b'2011yCat.2306....0A' b'HII|*|G|G|PoG|H2G' 244.09810033 47.03396890 18
"b'HK IC 2574   1'" "10 29 21.1" "+68 28 39" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 157.33790000 68.47750000 1
"b'[WKD98] B102503.1+684348'" "10 28 44.2" "+68 28 27" 5 5 "" "" 0 D "" b'1998ApJ...502L.143W' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII|Rad' 157.18420000 68.47420000 1
"b'[PMC2012] 13z'" "10 28 43.894" "+68 28 26.17" 7 7 "" "" 0 D O b'2012AJ....144..182P' b'' "" b'' b'Assoc*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'As*' 157.18289200 68.47393600 2
"b'[MCR94]    I'" "10 28 44.4" "+68 28 26" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 157.18500000 68.47390000 3
"b'[MH94a] IC 2574 167'" "10 28 43.6" "+68 28 27" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 157.18170000 68.47420000 4
"b'[BHE2002] NGC  2366  1'" "07 28 43.23" "+69 11 21.7" 6 6 "" "" 0 D "" b'2002AJ....123.1454B' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 112.18013000 69.18936000 1
